localization,l o c a l i z a t i o n,"Input: localization Answer: l o c a l i z a t i o n
"
rubble,r u b b l e,"Input: rubble Answer: r u b b l e
"
dissent,d i s s e n t,"Input: dissent Answer: d i s s e n t
"
granddaughter,g r a n d d a u g h t e r,"Input: granddaughter Answer: g r a n d d a u g h t e r
"
advancement,a d v a n c e m e n t,"Input: advancement Answer: a d v a n c e m e n t
"
credibility,c r e d i b i l i t y,"Input: credibility Answer: c r e d i b i l i t y
"
excellence,e x c e l l e n c e,"Input: excellence Answer: e x c e l l e n c e
"
winding,w i n d i n g,"Input: winding Answer: w i n d i n g
"
repetition,r e p e t i t i o n,"Input: repetition Answer: r e p e t i t i o n
"
intricate,i n t r i c a t e,"Input: intricate Answer: i n t r i c a t e
"
neglect,n e g l e c t,"Input: neglect Answer: n e g l e c t
"
flanking,f l a n k i n g,"Input: flanking Answer: f l a n k i n g
"
perfection,p e r f e c t i o n,"Input: perfection Answer: p e r f e c t i o n
"
forage,f o r a g e,"Input: forage Answer: f o r a g e
"
voter,v o t e r,"Input: voter Answer: v o t e r
"
hiking,h i k i n g,"Input: hiking Answer: h i k i n g
"
paperback,p a p e r b a c k,"Input: paperback Answer: p a p e r b a c k
"
witchcraft,w i t c h c r a f t,"Input: witchcraft Answer: w i t c h c r a f t
"
ceasefire,c e a s e f i r e,"Input: ceasefire Answer: c e a s e f i r e
"
accompaniment,a c c o m p a n i m e n t,"Input: accompaniment Answer: a c c o m p a n i m e n t
"
periphery,p e r i p h e r y,"Input: periphery Answer: p e r i p h e r y
"
modeling,m o d e l i n g,"Input: modeling Answer: m o d e l i n g
"
vapor,v a p o r,"Input: vapor Answer: v a p o r
"
inventor,i n v e n t o r,"Input: inventor Answer: i n v e n t o r
"
quartet,q u a r t e t,"Input: quartet Answer: q u a r t e t
"
asset,a s s e t,"Input: asset Answer: a s s e t
"
posture,p o s t u r e,"Input: posture Answer: p o s t u r e
"
container,c o n t a i n e r,"Input: container Answer: c o n t a i n e r
"
mainline,m a i n l i n e,"Input: mainline Answer: m a i n l i n e
"
flavor,f l a v o r,"Input: flavor Answer: f l a v o r
"
discontent,d i s c o n t e n t,"Input: discontent Answer: d i s c o n t e n t
"
resentment,r e s e n t m e n t,"Input: resentment Answer: r e s e n t m e n t
"
envelope,e n v e l o p e,"Input: envelope Answer: e n v e l o p e
"
cartoonist,c a r t o o n i s t,"Input: cartoonist Answer: c a r t o o n i s t
"
sailor,s a i l o r,"Input: sailor Answer: s a i l o r
"
tumor,t u m o r,"Input: tumor Answer: t u m o r
"
landslide,l a n d s l i d e,"Input: landslide Answer: l a n d s l i d e
"
shelf,s h e l f,"Input: shelf Answer: s h e l f
"
affiliation,a f f i l i a t i o n,"Input: affiliation Answer: a f f i l i a t i o n
"
residency,r e s i d e n c y,"Input: residency Answer: r e s i d e n c y
"
deterioration,d e t e r i o r a t i o n,"Input: deterioration Answer: d e t e r i o r a t i o n
"
metabolism,m e t a b o l i s m,"Input: metabolism Answer: m e t a b o l i s m
"
thorium,t h o r i u m,"Input: thorium Answer: t h o r i u m
"
echo,e c h o,"Input: echo Answer: e c h o
"
wounding,w o u n d i n g,"Input: wounding Answer: w o u n d i n g
"
recapture,r e c a p t u r e,"Input: recapture Answer: r e c a p t u r e
"
stud,s t u d,"Input: stud Answer: s t u d
"
sermon,s e r m o n,"Input: sermon Answer: s e r m o n
"
mathematician,m a t h e m a t i c i a n,"Input: mathematician Answer: m a t h e m a t i c i a n
"
troupe,t r o u p e,"Input: troupe Answer: t r o u p e
"
anterior,a n t e r i o r,"Input: anterior Answer: a n t e r i o r
"
overseeing,o v e r s e e i n g,"Input: overseeing Answer: o v e r s e e i n g
"
shootout,s h o o t o u t,"Input: shootout Answer: s h o o t o u t
"
liaison,l i a i s o n,"Input: liaison Answer: l i a i s o n
"
expulsion,e x p u l s i o n,"Input: expulsion Answer: e x p u l s i o n
"
pollen,p o l l e n,"Input: pollen Answer: p o l l e n
"
concussion,c o n c u s s i o n,"Input: concussion Answer: c o n c u s s i o n
"
jewellery,j e w e l l e r y,"Input: jewellery Answer: j e w e l l e r y
"
purity,p u r i t y,"Input: purity Answer: p u r i t y
"
eclipse,e c l i p s e,"Input: eclipse Answer: e c l i p s e
"
scheduling,s c h e d u l i n g,"Input: scheduling Answer: s c h e d u l i n g
"
compartment,c o m p a r t m e n t,"Input: compartment Answer: c o m p a r t m e n t
"
excuse,e x c u s e,"Input: excuse Answer: e x c u s e
"
lobbying,l o b b y i n g,"Input: lobbying Answer: l o b b y i n g
"
elbow,e l b o w,"Input: elbow Answer: e l b o w
"
pardon,p a r d o n,"Input: pardon Answer: p a r d o n
"
scent,s c e n t,"Input: scent Answer: s c e n t
"
setlist,s e t l i s t,"Input: setlist Answer: s e t l i s t
"
pot,p o t,"Input: pot Answer: p o t
"
restraint,r e s t r a i n t,"Input: restraint Answer: r e s t r a i n t
"
superintendent,s u p e r i n t e n d e n t,"Input: superintendent Answer: s u p e r i n t e n d e n t
"
exhaust,e x h a u s t,"Input: exhaust Answer: e x h a u s t
"
capita,c a p i t a,"Input: capita Answer: c a p i t a
"
semifinal,s e m i f i n a l,"Input: semifinal Answer: s e m i f i n a l
"
objection,o b j e c t i o n,"Input: objection Answer: o b j e c t i o n
"
deficiency,d e f i c i e n c y,"Input: deficiency Answer: d e f i c i e n c y
"
terrace,t e r r a c e,"Input: terrace Answer: t e r r a c e
"
fertility,f e r t i l i t y,"Input: fertility Answer: f e r t i l i t y
"
chemist,c h e m i s t,"Input: chemist Answer: c h e m i s t
"
renew,r e n e w,"Input: renew Answer: r e n e w
"
parrot,p a r r o t,"Input: parrot Answer: p a r r o t
"
vernacular,v e r n a c u l a r,"Input: vernacular Answer: v e r n a c u l a r
"
handing,h a n d i n g,"Input: handing Answer: h a n d i n g
"
smile,s m i l e,"Input: smile Answer: s m i l e
"
luminosity,l u m i n o s i t y,"Input: luminosity Answer: l u m i n o s i t y
"
stereo,s t e r e o,"Input: stereo Answer: s t e r e o
"
battling,b a t t l i n g,"Input: battling Answer: b a t t l i n g
"
float,f l o a t,"Input: float Answer: f l o a t
"
stallion,s t a l l i o n,"Input: stallion Answer: s t a l l i o n
"
planting,p l a n t i n g,"Input: planting Answer: p l a n t i n g
"
supremacy,s u p r e m a c y,"Input: supremacy Answer: s u p r e m a c y
"
organise,o r g a n i s e,"Input: organise Answer: o r g a n i s e
"
shortstop,s h o r t s t o p,"Input: shortstop Answer: s h o r t s t o p
"
bath,b a t h,"Input: bath Answer: b a t h
"
citation,c i t a t i o n,"Input: citation Answer: c i t a t i o n
"
masculine,m a s c u l i n e,"Input: masculine Answer: m a s c u l i n e
"
builder,b u i l d e r,"Input: builder Answer: b u i l d e r
"
consultation,c o n s u l t a t i o n,"Input: consultation Answer: c o n s u l t a t i o n
"
treasury,t r e a s u r y,"Input: treasury Answer: t r e a s u r y
"
neighbourhood,n e i g h b o u r h o o d,"Input: neighbourhood Answer: n e i g h b o u r h o o d
"
blunt,b l u n t,"Input: blunt Answer: b l u n t
"
camping,c a m p i n g,"Input: camping Answer: c a m p i n g
"
conditioning,c o n d i t i o n i n g,"Input: conditioning Answer: c o n d i t i o n i n g
"
magistrate,m a g i s t r a t e,"Input: magistrate Answer: m a g i s t r a t e
"
bikini,b i k i n i,"Input: bikini Answer: b i k i n i
"
techno,t e c h n o,"Input: techno Answer: t e c h n o
"
conscription,c o n s c r i p t i o n,"Input: conscription Answer: c o n s c r i p t i o n
"
schooling,s c h o o l i n g,"Input: schooling Answer: s c h o o l i n g
"
kidnapping,k i d n a p p i n g,"Input: kidnapping Answer: k i d n a p p i n g
"
spray,s p r a y,"Input: spray Answer: s p r a y
"
feminism,f e m i n i s m,"Input: feminism Answer: f e m i n i s m
"
assertion,a s s e r t i o n,"Input: assertion Answer: a s s e r t i o n
"
tutor,t u t o r,"Input: tutor Answer: t u t o r
"
capsule,c a p s u l e,"Input: capsule Answer: c a p s u l e
"
recipe,r e c i p e,"Input: recipe Answer: r e c i p e
"
compliance,c o m p l i a n c e,"Input: compliance Answer: c o m p l i a n c e
"
pacing,p a c i n g,"Input: pacing Answer: p a c i n g
"
sect,s e c t,"Input: sect Answer: s e c t
"
brood,b r o o d,"Input: brood Answer: b r o o d
"
dopamine,d o p a m i n e,"Input: dopamine Answer: d o p a m i n e
"
grouping,g r o u p i n g,"Input: grouping Answer: g r o u p i n g
"
chip,c h i p,"Input: chip Answer: c h i p
"
tuition,t u i t i o n,"Input: tuition Answer: t u i t i o n
"
silicon,s i l i c o n,"Input: silicon Answer: s i l i c o n
"
famine,f a m i n e,"Input: famine Answer: f a m i n e
"
crashing,c r a s h i n g,"Input: crashing Answer: c r a s h i n g
"
reinforcement,r e i n f o r c e m e n t,"Input: reinforcement Answer: r e i n f o r c e m e n t
"
dissatisfaction,d i s s a t i s f a c t i o n,"Input: dissatisfaction Answer: d i s s a t i s f a c t i o n
"
denomination,d e n o m i n a t i o n,"Input: denomination Answer: d e n o m i n a t i o n
"
basket,b a s k e t,"Input: basket Answer: b a s k e t
"
manipulation,m a n i p u l a t i o n,"Input: manipulation Answer: m a n i p u l a t i o n
"
insignia,i n s i g n i a,"Input: insignia Answer: i n s i g n i a
"
delta,d e l t a,"Input: delta Answer: d e l t a
"
frontman,f r o n t m a n,"Input: frontman Answer: f r o n t m a n
"
varsity,v a r s i t y,"Input: varsity Answer: v a r s i t y
"
locality,l o c a l i t y,"Input: locality Answer: l o c a l i t y
"
stereotype,s t e r e o t y p e,"Input: stereotype Answer: s t e r e o t y p e
"
midfield,m i d f i e l d,"Input: midfield Answer: m i d f i e l d
"
litigation,l i t i g a t i o n,"Input: litigation Answer: l i t i g a t i o n
"
positioning,p o s i t i o n i n g,"Input: positioning Answer: p o s i t i o n i n g
"
juice,j u i c e,"Input: juice Answer: j u i c e
"
liability,l i a b i l i t y,"Input: liability Answer: l i a b i l i t y
"
regeneration,r e g e n e r a t i o n,"Input: regeneration Answer: r e g e n e r a t i o n
"
maid,m a i d,"Input: maid Answer: m a i d
"
certainty,c e r t a i n t y,"Input: certainty Answer: c e r t a i n t y
"
plotting,p l o t t i n g,"Input: plotting Answer: p l o t t i n g
"
semester,s e m e s t e r,"Input: semester Answer: s e m e s t e r
"
clutch,c l u t c h,"Input: clutch Answer: c l u t c h
"
gut,g u t,"Input: gut Answer: g u t
"
trim,t r i m,"Input: trim Answer: t r i m
"
hazard,h a z a r d,"Input: hazard Answer: h a z a r d
"
apple,a p p l e,"Input: apple Answer: a p p l e
"
grenade,g r e n a d e,"Input: grenade Answer: g r e n a d e
"
gag,g a g,"Input: gag Answer: g a g
"
jewelry,j e w e l r y,"Input: jewelry Answer: j e w e l r y
"
brightness,b r i g h t n e s s,"Input: brightness Answer: b r i g h t n e s s
"
imprint,i m p r i n t,"Input: imprint Answer: i m p r i n t
"
remark,r e m a r k,"Input: remark Answer: r e m a r k
"
leap,l e a p,"Input: leap Answer: l e a p
"
nonsense,n o n s e n s e,"Input: nonsense Answer: n o n s e n s e
"
prevalence,p r e v a l e n c e,"Input: prevalence Answer: p r e v a l e n c e
"
backlash,b a c k l a s h,"Input: backlash Answer: b a c k l a s h
"
toilet,t o i l e t,"Input: toilet Answer: t o i l e t
"
pile,p i l e,"Input: pile Answer: p i l e
"
pad,p a d,"Input: pad Answer: p a d
"
originality,o r i g i n a l i t y,"Input: originality Answer: o r i g i n a l i t y
"
registry,r e g i s t r y,"Input: registry Answer: r e g i s t r y
"
heal,h e a l,"Input: heal Answer: h e a l
"
militant,m i l i t a n t,"Input: militant Answer: m i l i t a n t
"
contradictory,c o n t r a d i c t o r y,"Input: contradictory Answer: c o n t r a d i c t o r y
"
attire,a t t i r e,"Input: attire Answer: a t t i r e
"
pastor,p a s t o r,"Input: pastor Answer: p a s t o r
"
quicker,q u i c k e r,"Input: quicker Answer: q u i c k e r
"
verb,v e r b,"Input: verb Answer: v e r b
"
judiciary,j u d i c i a r y,"Input: judiciary Answer: j u d i c i a r y
"
abdominal,a b d o m i n a l,"Input: abdominal Answer: a b d o m i n a l
"
dispersal,d i s p e r s a l,"Input: dispersal Answer: d i s p e r s a l
"
casualty,c a s u a l t y,"Input: casualty Answer: c a s u a l t y
"
unification,u n i f i c a t i o n,"Input: unification Answer: u n i f i c a t i o n
"
tuning,t u n i n g,"Input: tuning Answer: t u n i n g
"
electorate,e l e c t o r a t e,"Input: electorate Answer: e l e c t o r a t e
"
bolster,b o l s t e r,"Input: bolster Answer: b o l s t e r
"
taxonomy,t a x o n o m y,"Input: taxonomy Answer: t a x o n o m y
"
petroleum,p e t r o l e u m,"Input: petroleum Answer: p e t r o l e u m
"
turf,t u r f,"Input: turf Answer: t u r f
"
pony,p o n y,"Input: pony Answer: p o n y
"
acceleration,a c c e l e r a t i o n,"Input: acceleration Answer: a c c e l e r a t i o n
"
sighting,s i g h t i n g,"Input: sighting Answer: s i g h t i n g
"
drumming,d r u m m i n g,"Input: drumming Answer: d r u m m i n g
"
topography,t o p o g r a p h y,"Input: topography Answer: t o p o g r a p h y
"
dairy,d a i r y,"Input: dairy Answer: d a i r y
"
viewpoint,v i e w p o i n t,"Input: viewpoint Answer: v i e w p o i n t
"
mercy,m e r c y,"Input: mercy Answer: m e r c y
"
mapping,m a p p i n g,"Input: mapping Answer: m a p p i n g
"
hormone,h o r m o n e,"Input: hormone Answer: h o r m o n e
"
toe,t o e,"Input: toe Answer: t o e
"
setup,s e t u p,"Input: setup Answer: s e t u p
"
sabotage,s a b o t a g e,"Input: sabotage Answer: s a b o t a g e
"
smuggling,s m u g g l i n g,"Input: smuggling Answer: s m u g g l i n g
"
commence,c o m m e n c e,"Input: commence Answer: c o m m e n c e
"
ratification,r a t i f i c a t i o n,"Input: ratification Answer: r a t i f i c a t i o n
"
forum,f o r u m,"Input: forum Answer: f o r u m
"
telegram,t e l e g r a m,"Input: telegram Answer: t e l e g r a m
"
lizard,l i z a r d,"Input: lizard Answer: l i z a r d
"
butter,b u t t e r,"Input: butter Answer: b u t t e r
"
showrunner,s h o w r u n n e r,"Input: showrunner Answer: s h o w r u n n e r
"
doctorate,d o c t o r a t e,"Input: doctorate Answer: d o c t o r a t e
"
convenience,c o n v e n i e n c e,"Input: convenience Answer: c o n v e n i e n c e
"
exposition,e x p o s i t i o n,"Input: exposition Answer: e x p o s i t i o n
"
readiness,r e a d i n e s s,"Input: readiness Answer: r e a d i n e s s
"
computing,c o m p u t i n g,"Input: computing Answer: c o m p u t i n g
"
resupply,r e s u p p l y,"Input: resupply Answer: r e s u p p l y
"
ribbon,r i b b o n,"Input: ribbon Answer: r i b b o n
"
calculation,c a l c u l a t i o n,"Input: calculation Answer: c a l c u l a t i o n
"
interrogation,i n t e r r o g a t i o n,"Input: interrogation Answer: i n t e r r o g a t i o n
"
pornography,p o r n o g r a p h y,"Input: pornography Answer: p o r n o g r a p h y
"
postal,p o s t a l,"Input: postal Answer: p o s t a l
"
pulse,p u l s e,"Input: pulse Answer: p u l s e
"
fiber,f i b e r,"Input: fiber Answer: f i b e r
"
pepper,p e p p e r,"Input: pepper Answer: p e p p e r
"
injunction,i n j u n c t i o n,"Input: injunction Answer: i n j u n c t i o n
"
productivity,p r o d u c t i v i t y,"Input: productivity Answer: p r o d u c t i v i t y
"
discourse,d i s c o u r s e,"Input: discourse Answer: d i s c o u r s e
"
doorway,d o o r w a y,"Input: doorway Answer: d o o r w a y
"
rink,r i n k,"Input: rink Answer: r i n k
"
distortion,d i s t o r t i o n,"Input: distortion Answer: d i s t o r t i o n
"
grape,g r a p e,"Input: grape Answer: g r a p e
"
reversal,r e v e r s a l,"Input: reversal Answer: r e v e r s a l
"
whaling,w h a l i n g,"Input: whaling Answer: w h a l i n g
"
centimeter,c e n t i m e t e r,"Input: centimeter Answer: c e n t i m e t e r
"
sensory,s e n s o r y,"Input: sensory Answer: s e n s o r y
"
heel,h e e l,"Input: heel Answer: h e e l
"
secrecy,s e c r e c y,"Input: secrecy Answer: s e c r e c y
"
wavelength,w a v e l e n g t h,"Input: wavelength Answer: w a v e l e n g t h
"
arbitration,a r b i t r a t i o n,"Input: arbitration Answer: a r b i t r a t i o n
"
nectar,n e c t a r,"Input: nectar Answer: n e c t a r
"
prevention,p r e v e n t i o n,"Input: prevention Answer: p r e v e n t i o n
"
fringe,f r i n g e,"Input: fringe Answer: f r i n g e
"
lockout,l o c k o u t,"Input: lockout Answer: l o c k o u t
"
transcription,t r a n s c r i p t i o n,"Input: transcription Answer: t r a n s c r i p t i o n
"
peacetime,p e a c e t i m e,"Input: peacetime Answer: p e a c e t i m e
"
dietary,d i e t a r y,"Input: dietary Answer: d i e t a r y
"
whistle,w h i s t l e,"Input: whistle Answer: w h i s t l e
"
spear,s p e a r,"Input: spear Answer: s p e a r
"
commencement,c o m m e n c e m e n t,"Input: commencement Answer: c o m m e n c e m e n t
"
offseason,o f f s e a s o n,"Input: offseason Answer: o f f s e a s o n
"
hint,h i n t,"Input: hint Answer: h i n t
"
boot,b o o t,"Input: boot Answer: b o o t
"
nationality,n a t i o n a l i t y,"Input: nationality Answer: n a t i o n a l i t y
"
puck,p u c k,"Input: puck Answer: p u c k
"
simulate,s i m u l a t e,"Input: simulate Answer: s i m u l a t e
"
titanium,t i t a n i u m,"Input: titanium Answer: t i t a n i u m
"
rapping,r a p p i n g,"Input: rapping Answer: r a p p i n g
"
waist,w a i s t,"Input: waist Answer: w a i s t
"
classroom,c l a s s r o o m,"Input: classroom Answer: c l a s s r o o m
"
manoeuvre,m a n o e u v r e,"Input: manoeuvre Answer: m a n o e u v r e
"
algae,a l g a e,"Input: algae Answer: a l g a e
"
irony,i r o n y,"Input: irony Answer: i r o n y
"
rental,r e n t a l,"Input: rental Answer: r e n t a l
"
tap,t a p,"Input: tap Answer: t a p
"
drafting,d r a f t i n g,"Input: drafting Answer: d r a f t i n g
"
intro,i n t r o,"Input: intro Answer: i n t r o
"
consul,c o n s u l,"Input: consul Answer: c o n s u l
"
imitation,i m i t a t i o n,"Input: imitation Answer: i m i t a t i o n
"
weaving,w e a v i n g,"Input: weaving Answer: w e a v i n g
"
octagonal,o c t a g o n a l,"Input: octagonal Answer: o c t a g o n a l
"
acquaintance,a c q u a i n t a n c e,"Input: acquaintance Answer: a c q u a i n t a n c e
"
destiny,d e s t i n y,"Input: destiny Answer: d e s t i n y
"
incidence,i n c i d e n c e,"Input: incidence Answer: i n c i d e n c e
"
rigging,r i g g i n g,"Input: rigging Answer: r i g g i n g
"
bidding,b i d d i n g,"Input: bidding Answer: b i d d i n g
"
